QUESTION O 
TYPE: O 
DIGESTIVE O 

CLINICAL O 
CASE: O 

Mujer B-Premise HighQuality
de I-Premise HighQuality
27 I-Premise HighQuality
años I-Premise HighQuality
en I-Premise HighQuality
estudio I-Premise HighQuality
en I-Premise HighQuality
el I-Premise HighQuality
Servicio I-Premise HighQuality
de I-Premise HighQuality
dermatología I-Premise HighQuality
por I-Premise HighQuality
presentar I-Premise HighQuality
episodios I-Premise HighQuality
de I-Premise HighQuality
aftas I-Premise HighQuality
bucales I-Premise HighQuality
recidivantes. I-Premise HighQuality

Es O 
remitida O 
a O 
las O 
consultas O 
de O 
Aparato O 
Digestivo O 
por O 
objetivar B-Premise HighQuality
en I-Premise HighQuality
una I-Premise HighQuality
analítica I-Premise HighQuality
Hb I-Premise HighQuality
11,5 I-Premise HighQuality
gr/dl I-Premise HighQuality
Fe I-Premise HighQuality
38 I-Premise HighQuality
AST I-Premise HighQuality
52 I-Premise HighQuality
ALT I-Premise HighQuality
64 I-Premise HighQuality
Ac I-Premise HighQuality
antitrasglutaminasa I-Premise HighQuality
IgA I-Premise HighQuality
177. I-Premise HighQuality

La B-Premise HighQuality
paciente I-Premise HighQuality
sólo I-Premise HighQuality
refiere I-Premise HighQuality
presentar I-Premise HighQuality
molestias I-Premise HighQuality
abdominales I-Premise HighQuality
difusas I-Premise HighQuality
de I-Premise HighQuality
forma I-Premise HighQuality
ocasional. I-Premise HighQuality

No B-Premise HighQuality
refiere I-Premise HighQuality
signos I-Premise HighQuality
de I-Premise HighQuality
hemorragia I-Premise HighQuality
ni I-Premise HighQuality
ictericia.. I-Premise HighQuality

La B-Premise HighQuality
exploración I-Premise HighQuality
física I-Premise HighQuality
es I-Premise HighQuality
normal. I-Premise HighQuality

¿Qué O 
prueba O 
de O 
las O 
que O 
se O 
mencionan O 
a O 
continuación O 
considera O 
que O 
es O 
la O 
más O 
adecuada O 
para O 
realizar O 
el O 
diagnóstico? O 

1- O 
Cápsula B-Claim HighQuality
endoscópica. I-Claim HighQuality

2- O 
Colonoscopia. B-Claim HighQuality

3- O 
Serología B-Claim HighQuality
para I-Claim HighQuality
virus I-Claim HighQuality
de I-Claim HighQuality
la I-Claim HighQuality
hepatitis I-Claim HighQuality
b I-Claim HighQuality
y I-Claim HighQuality
c. I-Claim HighQuality

4- O 
Biopsia B-Claim HighQuality
intestinal. I-Claim HighQuality

5- O 
Ecografía B-Claim HighQuality
abdominal. I-Claim HighQuality

CORRECT O 
ANSWER: O 
4 O 

En B-Premise HighQuality
esta I-Premise HighQuality
pregunta, I-Premise HighQuality
dan I-Premise HighQuality
un I-Premise HighQuality
dato I-Premise HighQuality
importante I-Premise HighQuality
a I-Premise HighQuality
la I-Premise HighQuality
hora I-Premise HighQuality
de I-Premise HighQuality
sospechar I-Premise HighQuality
un I-Premise HighQuality
diagnóstico I-Premise HighQuality
que I-Premise HighQuality
son I-Premise HighQuality
los I-Premise HighQuality
Ac. I-Premise HighQuality
Antitrasglutaminasa I-Premise HighQuality
que B-Claim HighQuality
tienen I-Claim HighQuality
que I-Claim HighQuality
llevarte I-Claim HighQuality
a I-Claim HighQuality
sospechar I-Claim HighQuality
enf. I-Claim HighQuality
Celiaca. I-Claim HighQuality

El B-Premise HighQuality
resto I-Premise HighQuality
de I-Premise HighQuality
síntomas I-Premise HighQuality
entran I-Premise HighQuality
perfectamente I-Premise HighQuality
dentro I-Premise HighQuality
del I-Premise HighQuality
cuadro I-Premise HighQuality
y O 
aunque B-Claim HighQuality
probablemente I-Claim HighQuality
se I-Claim HighQuality
hagan I-Claim HighQuality
varias I-Claim HighQuality
de I-Claim HighQuality
las I-Claim HighQuality
pruebas I-Claim HighQuality
que I-Claim HighQuality
pone, I-Claim HighQuality
la B-Claim HighQuality
respuesta I-Claim HighQuality
que I-Claim HighQuality
nos I-Claim HighQuality
dará I-Claim HighQuality
el I-Claim HighQuality
diagnóstico I-Claim HighQuality
es I-Claim HighQuality
la I-Claim HighQuality
4 I-Claim HighQuality
(biopsia I-Claim HighQuality
intestinal). I-Claim HighQuality

QUESTION O 
TYPE: O 
ENDOCRINOLOGY O 

CLINICAL O 
CASE: O 

Hombre B-Premise HighQuality
de I-Premise HighQuality
24 I-Premise HighQuality
años I-Premise HighQuality
que I-Premise HighQuality
refiere I-Premise HighQuality
astenia I-Premise HighQuality
progresiva I-Premise HighQuality
desde I-Premise HighQuality
al I-Premise HighQuality
menos I-Premise HighQuality
6 I-Premise HighQuality
meses, I-Premise HighQuality
voz I-Premise HighQuality
ronca, I-Premise HighQuality
lentitud I-Premise HighQuality
del I-Premise HighQuality
habla, I-Premise HighQuality
somnolencia I-Premise HighQuality
e I-Premise HighQuality
hinchazón I-Premise HighQuality
de I-Premise HighQuality
manos, I-Premise HighQuality
pies I-Premise HighQuality
y I-Premise HighQuality
cara. I-Premise HighQuality

Exploración: B-Premise HighQuality
pulso I-Premise HighQuality
a I-Premise HighQuality
52 I-Premise HighQuality
latidos I-Premise HighQuality
por I-Premise HighQuality
minutos, I-Premise HighQuality
cara I-Premise HighQuality
abotargada I-Premise HighQuality
y I-Premise HighQuality
piel I-Premise HighQuality
seca I-Premise HighQuality
y I-Premise HighQuality
pálida. I-Premise HighQuality

Analítica: B-Premise HighQuality
Ligera I-Premise HighQuality
anemia, I-Premise HighQuality
colesterol I-Premise HighQuality
385 I-Premise HighQuality
mg/dL I-Premise HighQuality
(normal I-Premise HighQuality
<220), I-Premise HighQuality
creatinina I-Premise HighQuality
1,3 I-Premise HighQuality
mg/dL I-Premise HighQuality
(normal: I-Premise HighQuality
0,5-1,1), I-Premise HighQuality
proteinuria I-Premise HighQuality
negativa, I-Premise HighQuality
TSH I-Premise HighQuality
187μUI/mL I-Premise HighQuality
(normal I-Premise HighQuality
0,35-5,5) I-Premise HighQuality
y I-Premise HighQuality
T4 I-Premise HighQuality
Libre I-Premise HighQuality
0,2 I-Premise HighQuality
ng/dL I-Premise HighQuality
(normal I-Premise HighQuality
0,85-1,86). I-Premise HighQuality

¿Qué O 
estrategia O 
le O 
parece O 
más O 
adecuada? O 

1- O 
Realizar B-Claim HighQuality
una I-Claim HighQuality
ecografía I-Claim HighQuality
tiroidea I-Claim HighQuality
antes I-Claim HighQuality
de I-Claim HighQuality
iniciar I-Claim HighQuality
el I-Claim HighQuality
tratamiento. I-Claim HighQuality

2- O 
Determinar B-Claim HighQuality
la I-Claim HighQuality
T3 I-Claim HighQuality
libre I-Claim HighQuality
y I-Claim HighQuality
realizar I-Claim HighQuality
una I-Claim HighQuality
resonancia I-Claim HighQuality
magnética I-Claim HighQuality
hipofisaria. I-Claim HighQuality

3- O 
Tratar B-Claim HighQuality
con I-Claim HighQuality
L-Triyodotironina I-Claim HighQuality
y I-Claim HighQuality
una I-Claim HighQuality
estatina. I-Claim HighQuality

4- O 
Tratar B-Claim HighQuality
con I-Claim HighQuality
L-Tiroxina I-Claim HighQuality
y I-Claim HighQuality
determinar I-Claim HighQuality
anticuerpos I-Claim HighQuality
antitiroideos. I-Claim HighQuality

5- O 
Realizar B-Claim HighQuality
una I-Claim HighQuality
citología I-Claim HighQuality
tiroidea, I-Claim HighQuality
previa I-Claim HighQuality
al I-Claim HighQuality
tratamiento. I-Claim HighQuality

CORRECT O 
ANSWER: O 
4 O 

Se B-Claim HighQuality
trata I-Claim HighQuality
de I-Claim HighQuality
un I-Claim HighQuality
hipotiroidismo I-Claim HighQuality
primario I-Claim HighQuality
severo. I-Claim HighQuality

El B-Claim HighQuality
tratamiento I-Claim HighQuality
se I-Claim HighQuality
realiza I-Claim HighQuality
con I-Claim HighQuality
tiroxina. I-Claim HighQuality

Si B-Claim HighQuality
no I-Claim HighQuality
hay I-Claim HighQuality
nódulo I-Claim HighQuality
no I-Claim HighQuality
está I-Claim HighQuality
indicado I-Claim HighQuality
ni I-Claim HighQuality
eco I-Claim HighQuality
ni I-Claim HighQuality
PAAF. I-Claim HighQuality

QUESTION O 
TYPE: O 
ENDOCRINOLOGY O 

CLINICAL O 
CASE: O 

Una B-Premise HighQuality
mujer I-Premise HighQuality
de I-Premise HighQuality
55 I-Premise HighQuality
años I-Premise HighQuality
consulta I-Premise HighQuality
por I-Premise HighQuality
fatiga I-Premise HighQuality
y I-Premise HighQuality
poliuria I-Premise HighQuality
de I-Premise HighQuality
dos I-Premise HighQuality
años I-Premise HighQuality
de I-Premise HighQuality
evolución. I-Premise HighQuality

Los B-Premise HighQuality
análisis I-Premise HighQuality
revelan I-Premise HighQuality
hipercalcemia, I-Premise HighQuality
aumento I-Premise HighQuality
de I-Premise HighQuality
la I-Premise HighQuality
PTH I-Premise HighQuality
e I-Premise HighQuality
incremento I-Premise HighQuality
de I-Premise HighQuality
los I-Premise HighQuality
marcadores I-Premise HighQuality
de I-Premise HighQuality
recambio I-Premise HighQuality
óseo. I-Premise HighQuality

El B-Premise HighQuality
estudio I-Premise HighQuality
radiográfico I-Premise HighQuality
muestra I-Premise HighQuality
resorción I-Premise HighQuality
subperióstica I-Premise HighQuality
y I-Premise HighQuality
osteoporosis. I-Premise HighQuality

La B-Premise HighQuality
gammagrafía I-Premise HighQuality
con I-Premise HighQuality
sestamibi I-Premise HighQuality
pone I-Premise HighQuality
de I-Premise HighQuality
manifiesto I-Premise HighQuality
un I-Premise HighQuality
adenoma I-Premise HighQuality
paratiroideo. I-Premise HighQuality

Se B-Premise HighQuality
efectúa I-Premise HighQuality
paratiroidectomía I-Premise HighQuality
con I-Premise HighQuality
cirugía I-Premise HighQuality
mínimamente I-Premise HighQuality
invasiva. I-Premise HighQuality

En B-Premise HighQuality
el I-Premise HighQuality
postoperatorio I-Premise HighQuality
la I-Premise HighQuality
enferma I-Premise HighQuality
desarrolla I-Premise HighQuality
hipocalcemia I-Premise HighQuality
intensa I-Premise HighQuality
