QUESTION O 
TYPE: O 
DIGESTIF O 

CLINICAL O 
CASE: O 

Femme B-Premise HighQuality
de I-Premise HighQuality
27 I-Premise HighQuality
ans I-Premise HighQuality
examinée I-Premise HighQuality
dans I-Premise HighQuality
le I-Premise HighQuality
service I-Premise HighQuality
de I-Premise HighQuality
dermatologie I-Premise HighQuality
pour I-Premise HighQuality
des I-Premise HighQuality
épisodes I-Premise HighQuality
récurrents I-Premise HighQuality
d'aphtes I-Premise HighQuality
buccaux. I-Premise HighQuality

Elle O 
a O 
été O 
adressée O 
au O 
service O 
gastro-intestinal O 
pour O 
une O 
analyse O 
sanguine O 
montrant O 
une B-Premise HighQuality
Hb I-Premise HighQuality
de I-Premise HighQuality
11,5 I-Premise HighQuality
g/dl I-Premise HighQuality
Fe I-Premise HighQuality
38 I-Premise HighQuality
AST I-Premise HighQuality
52 I-Premise HighQuality
ALT I-Premise HighQuality
64 I-Premise HighQuality
Anti-transglutaminase I-Premise HighQuality
IgA I-Premise HighQuality
177. I-Premise HighQuality

Le B-Premise HighQuality
patient I-Premise HighQuality
ne I-Premise HighQuality
signale I-Premise HighQuality
qu'une I-Premise HighQuality
gêne I-Premise HighQuality
abdominale I-Premise HighQuality
diffuse I-Premise HighQuality
occasionnelle. I-Premise HighQuality

Aucun B-Premise HighQuality
signe I-Premise HighQuality
d'hémorragie I-Premise HighQuality
ou I-Premise HighQuality
de I-Premise HighQuality
jaunisse. I-Premise HighQuality

L'examen B-Premise HighQuality
physique I-Premise HighQuality
est I-Premise HighQuality
normal. I-Premise HighQuality

Parmi O 
les O 
tests O 
suivants, O 
lequel O 
vous O 
semble O 
le O 
plus O 
approprié O 
pour O 
le O 
diagnostic O 
? O 

1- O 
Capsule B-Claim HighQuality
endoscopique. I-Claim HighQuality

2- O 
Coloscopie. B-Claim HighQuality

3- O 
Sérologie B-Claim HighQuality
des I-Claim HighQuality
virus I-Claim HighQuality
de I-Claim HighQuality
l'hépatite I-Claim HighQuality
b I-Claim HighQuality
et I-Claim HighQuality
c. I-Claim HighQuality

4- O 
Biopsie B-Claim HighQuality
intestinale. I-Claim HighQuality

5- O 
Echographie B-Claim HighQuality
abdominale. I-Claim HighQuality

BONNE O 
RÉPONSE O 
: O 
4 O 

Dans B-Premise HighQuality
cette I-Premise HighQuality
question, I-Premise HighQuality
ils I-Premise HighQuality
donnent I-Premise HighQuality
une I-Premise HighQuality
donnée I-Premise HighQuality
importante I-Premise HighQuality
lorsqu'il I-Premise HighQuality
s'agit I-Premise HighQuality
de I-Premise HighQuality
suspecter I-Premise HighQuality
un I-Premise HighQuality
diagnostic, I-Premise HighQuality
à I-Premise HighQuality
savoir I-Premise HighQuality
l'Ac. I-Premise HighQuality
antitrasglutaminase I-Premise HighQuality
qui B-Claim HighQuality
doit I-Claim HighQuality
faire I-Claim HighQuality
suspecter I-Claim HighQuality
une I-Claim HighQuality
maladie I-Claim HighQuality
cœliaque. I-Claim HighQuality

Les B-Premise HighQuality
autres I-Premise HighQuality
symptômes I-Premise HighQuality
s'intègrent I-Premise HighQuality
parfaitement I-Premise HighQuality
dans I-Premise HighQuality
le I-Premise HighQuality
tableau I-Premise HighQuality
et O 
bien B-Claim HighQuality
que I-Claim HighQuality
plusieurs I-Claim HighQuality
des I-Claim HighQuality
tests I-Claim HighQuality
mentionnés I-Claim HighQuality
soient I-Claim HighQuality
probablement I-Claim HighQuality
effectués, I-Claim HighQuality
la B-Claim HighQuality
réponse I-Claim HighQuality
qui I-Claim HighQuality
nous I-Claim HighQuality
donnera I-Claim HighQuality
le I-Claim HighQuality
diagnostic I-Claim HighQuality
est I-Claim HighQuality
le I-Claim HighQuality
4 I-Claim HighQuality
(biopsie I-Claim HighQuality
intestinale). I-Claim HighQuality

QUESTION O 
TYPE: O 
ENDOCRINOLOGIE O 

CLINICAL O 
CASE: O 

Homme B-Premise HighQuality
de I-Premise HighQuality
24 I-Premise HighQuality
ans I-Premise HighQuality
signalant I-Premise HighQuality
une I-Premise HighQuality
asthénie I-Premise HighQuality
progressive I-Premise HighQuality
depuis I-Premise HighQuality
au I-Premise HighQuality
moins I-Premise HighQuality
6 I-Premise HighQuality
mois, I-Premise HighQuality
une I-Premise HighQuality
voix I-Premise HighQuality
rauque, I-Premise HighQuality
une I-Premise HighQuality
élocution I-Premise HighQuality
lente, I-Premise HighQuality
une I-Premise HighQuality
somnolence I-Premise HighQuality
et I-Premise HighQuality
un I-Premise HighQuality
gonflement I-Premise HighQuality
des I-Premise HighQuality
mains, I-Premise HighQuality
des I-Premise HighQuality
pieds I-Premise HighQuality
et I-Premise HighQuality
du I-Premise HighQuality
visage. I-Premise HighQuality

Examen B-Premise HighQuality
: I-Premise HighQuality
pouls I-Premise HighQuality
à I-Premise HighQuality
52 I-Premise HighQuality
battements I-Premise HighQuality
par I-Premise HighQuality
minute, I-Premise HighQuality
visage I-Premise HighQuality
abotarada I-Premise HighQuality
et I-Premise HighQuality
peau I-Premise HighQuality
